Kennziffer;Raumeinheit;Aggregat;Teilzeitbeschäftige Frauen;Teilzeitbeschäftigte;Beschäftigtenquote Männer;Beschäftigtenquote Frauen
;;;2022;2022;2022;2022
9;Bayern;Bundesländer;49,61;28,69;71,79;63,89
