Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Männer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen
5558;Coesfeld;Kreise;62,5;70,58;31,16;54,72
5562;Recklinghausen;Kreise;54,29;65,21;31,8;52,74
5566;Steinfurt;Kreise;62,95;72,74;29,87;54,29
5570;Warendorf;Kreise;61,18;73,13;27,2;51,7
5711;Bielefeld, Stadt;Kreise;56,64;67,49;33,59;52,96
5754;Gütersloh;Kreise;63,91;76,88;23,31;47,91
5758;Herford;Kreise;60,74;70,03;28,53;52,52
5762;Höxter;Kreise;61,01;70,49;31,95;57,43
5766;Lippe;Kreise;59,84;70,32;30,48;53,9
5770;Minden-Lübbecke;Kreise;60,14;69,02;28,64;51,44
5774;Paderborn;Kreise;56,64;69,06;30,45;53,92
5911;Bochum, Stadt;Kreise;55,25;64,17;32,57;50,01
5913;Dortmund, Stadt;Kreise;52,81;62,65;29,75;47,02
5914;Hagen, Stadt der FernUniversität;Kreise;52,72;64,93;28,34;48,68
5915;Hamm, Stadt;Kreise;54,11;65,96;31,29;52,95
5916;Herne, Stadt;Kreise;52,38;63,21;32,26;47,77
5954;Ennepe-Ruhr-Kreis;Kreise;59,82;70,06;29;51,62
5958;Hochsauerlandkreis;Kreise;60,61;73,5;27,2;52,02
5962;Märkischer Kreis;Kreise;57,11;70,72;23,65;46,1
5966;Olpe;Kreise;60,3;75,75;23,17;47,31
5970;Siegen-Wittgenstein;Kreise;58,07;72,84;26,4;50,37
5974;Soest;Kreise;60,93;70,31;27,46;50,53
5978;Unna;Kreise;57,19;67,18;28,53;50,23
6411;Darmstadt, Wissenschaftsstadt;Kreise;56,56;62,39;29,82;45,47
6412;Frankfurt am Main, Stadt;Kreise;59,13;67;26,51;41,3
6413;Offenbach am Main, Stadt;Kreise;58,22;70,39;31,24;46,42
6414;Wiesbaden, Landeshauptstadt;Kreise;57,21;64,71;29,22;44,3
6431;Bergstraße;Kreise;59,34;69,12;30,54;52,71
6432;Darmstadt-Dieburg;Kreise;59,76;68,06;33,85;57,69
6433;Groß-Gerau;Kreise;60,67;73,74;26,19;49,79
6434;Hochtaunuskreis;Kreise;58,77;64,6;25,39;41
6435;Main-Kinzig-Kreis;Kreise;60,17;70,59;29,5;51,8
6436;Main-Taunus-Kreis;Kreise;63,3;69,84;25,62;42,56
6437;Odenwaldkreis;Kreise;59,7;70,58;30,55;53,89
6438;Offenbach;Kreise;60,41;70,13;27,22;46,55
6439;Rheingau-Taunus-Kreis;Kreise;60,14;65,75;35,74;55,2
6440;Wetteraukreis;Kreise;60,99;68,1;31,43;52,72
6531;Gießen;Kreise;56,59;64,2;34,79;54,75
6532;Lahn-Dill-Kreis;Kreise;57,13;68,72;29,1;53,19
6533;Limburg-Weilburg;Kreise;56,15;66,72;32,57;55,33
6534;Marburg-Biedenkopf;Kreise;57,62;65,16;34,49;55,89
6535;Vogelsbergkreis;Kreise;63,84;72,29;32,71;58,12
6611;Kassel, documenta-Stadt;Kreise;54,4;65,65;35,52;53,98
6631;Fulda;Kreise;61,54;70,01;28,85;52,75
6632;Hersfeld-Rotenburg;Kreise;61,18;71,45;28,92;54,87
6633;Kassel;Kreise;63,08;72,27;30,12;60,08
6634;Schwalm-Eder-Kreis;Kreise;62,11;69,31;35,14;58,21
6635;Waldeck-Frankenberg;Kreise;63,87;72,18;30,38;55,39
6636;Werra-Meißner-Kreis;Kreise;60,68;65,74;40,22;63,98
7111;Koblenz, kreisfreie Stadt;Kreise;57,33;62,56;28,94;46,27
7131;Ahrweiler;Kreise;60,51;65,34;30,63;53,78
7132;Altenkirchen (Westerwald);Kreise;56,38;69,63;27,72;53,99
7133;Bad Kreuznach;Kreise;57,58;66,04;32,24;54,66
7134;Birkenfeld;Kreise;57,29;64,68;31,5;53,46
7135;Cochem-Zell;Kreise;61,73;66,29;37,35;61,42
7137;Mayen-Koblenz;Kreise;59;67,09;28,9;53,45
7138;Neuwied;Kreise;58,2;67,84;29,39;51,77
7140;Rhein-Hunsrück-Kreis;Kreise;60,49;70,58;28,48;56,02
7141;Rhein-Lahn-Kreis;Kreise;59,31;65,44;32,26;54,78
7143;Westerwaldkreis;Kreise;58,48;69,26;27,84;53,85
7211;Trier, kreisfreie Stadt;Kreise;51,57;51,7;33,61;50,85
7231;Bernkastel-Wittlich;Kreise;61,86;68,13;28,17;52,31
7232;Eifelkreis Bitburg-Prüm;Kreise;48,85;49,45;27,92;52,22
7233;Vulkaneifel;Kreise;61,76;68,24;29,98;53,43
7235;Trier-Saarburg;Kreise;50,16;47,81;30,69;54,23
7311;Frankenthal (Pfalz), kreisfreie Stadt;Kreise;51,18;63,73;26,84;48,66
7312;Kaiserslautern, kreisfreie Stadt;Kreise;54,3;61,97;31,04;50,6
7313;Landau in der Pfalz, kreisfreie Stadt;Kreise;53,64;64,25;34,03;54,67
7314;Ludwigshafen am Rhein, kreisfreie Stadt;Kreise;54,26;68,67;23,62;46,6
7315;Mainz, kreisfreie Stadt;Kreise;56,73;62,72;33,41;47,49
7316;Neustadt an der Weinstraße, kreisfreie Stadt;Kreise;59,23;71,31;35,22;54,91
7317;Pirmasens, kreisfreie Stadt;Kreise;57,85;65,82;29,43;49,43
7318;Speyer, kreisfreie Stadt;Kreise;60,89;65,04;32,54;50,91
7319;Worms, kreisfreie Stadt;Kreise;55,21;70,41;27,53;48,43
7320;Zweibrücken, kreisfreie Stadt;Kreise;61,45;72,51;26,07;50,88
7331;Alzey-Worms;Kreise;61,14;71,85;35,85;57,4
7332;Bad Dürkheim;Kreise;60,77;69,43;36,11;56,56
7333;Donnersbergkreis;Kreise;59,53;71,17;30,99;55,55
7334;Germersheim;Kreise;59,83;73,6;24,91;53,13
7335;Kaiserslautern;Kreise;58,85;66,63;32,3;53,56
7336;Kusel;Kreise;58,88;65,79;39,15;59,86
7337;Südliche Weinstraße;Kreise;59,78;66,88;32,64;55,43
7338;Rhein-Pfalz-Kreis;Kreise;62,42;73,32;31,05;54,41
7339;Mainz-Bingen;Kreise;64,55;71,6;30,51;50,25
7340;Südwestpfalz;Kreise;64,46;71,35;36,22;59,03
8111;Stuttgart, Stadtkreis;Kreise;60,28;67,55;25,24;41,34
8115;Böblingen;Kreise;62,08;74,9;22;45,78
